Word,Definitions,Word length,Number of Syllables,Word Frequency,Difficulty
bed,a piece of furniture that people sleep on,3,1,5.07,easy
legislation,act or process of writing and passing laws,11,4,4.55,hard
infection,act or state of becoming infected with a disease,9,3,4.33,hard
transportation,"act, system, or business of moving people or goods from one place to another",14,4,4.57,hard
laughter,action or sound of laughing,8,2,4.1,hard
behavior,way a person or thing acts; manner,8,3,4.69,medium
behind,in or toward the back,6,2,5.29,hard
sanction,action taken to force a country to obey laws,8,2,3.43,hard
entertainment,"activities that make people have a good time by singing, telling jokes, etc.",13,4,4.6,hard
belong,to be a member of a particular group and feel welcomed,6,2,4.38,medium
below,"in a lower position, place, or level",5,2,5.05,hard
venture,activity that involves taking chances or risks,7,2,4.26,hard
game,activity with rules that people play to have fun,4,1,5.72,easy
work,activity you do in order to make money,4,1,5.96,easy
benefit,"good result or effect, something advantageous",7,3,4.82,medium
real,"actually existing or happening, not imagined",4,1,5.6,easy
woman,adult female human being,5,2,5.35,hard
privilege,advantage or right that is given to only a certain person or group of people,9,2,4.2,hard
anxious,afraid of what may happen; worried and nervous,7,2,4.09,hard
beyond,on or to the farther side; in addition to,6,2,4.98,medium
subsequently,after something else has happened,12,4,4.23,hard
breath,air you take in and out of your body,6,1,4.52,hard
beer,alcoholic drink that is made from wheat or grains,4,1,4.7,easy
universe,all of space and everything in it,8,3,4.59,medium
bill,piece of paper showing what you have to pay,4,1,5.15,easy
world,"all the humans, events, activities on the earth",5,1,5.89,easy
membership,all the people who belong to a club or group,10,3,4.47,hard
bird,animal with feathers that uses wings to fly,4,1,4.63,hard
household,all the people who live in a house; a family,9,2,4.47,hard
virtually,almost completely,9,4,4.26,hard
black,color of the sky on a dark night,5,1,5.46,easy
barely,almost not possible or does not happen,6,2,4.49,medium
though,"although, despite the fact that",6,1,5.5,hard
expenditure,amount of money used during a certain time,11,4,3.74,hard
block,to stop from going forward or making progress,5,1,4.88,easy
blood,red liquid in the bodies of people and animals,5,1,5.1,easy
output,amount of something that is produced,6,2,4.43,medium
blow,to move something using air,4,1,4.59,hard
blue,color of the clear sky,4,1,5.13,easy
board,surface for posting or showing information,5,1,5.24,easy
boat,small form of transport for traveling on water,4,1,4.71,easy
body,a person's physical self,4,2,5.4,hard
quantity,amount or number of something,8,3,4.07,hard
excess,amount that is more than necessary,6,2,4.21,hard
story,an account or description of how something happened,5,2,5.45,hard
man,an adult male human being,3,1,5.82,easy
compromise,an agreement in which each side must give up some things,10,3,4.15,hard
discount,an amount of money taken off the usual price of something,8,2,4.35,hard
layer,an amount of something that is spread over a surface,5,2,4.4,hard
deficit,an amount that is less than needed,7,3,4.06,hard
rat,an animal that looks like a large mouse,3,1,4.17,hard
bottom,lowest part of something; part on which it rests,6,2,4.84,medium
country,an area of land that is controlled by a government,7,2,5.48,hard
box,a container with (usually) four straight sides and a lid,3,1,5.04,easy
boy,a young male person,3,1,5.17,easy
brain,part of the head that thinks and controls your body,5,1,4.94,easy
slope,an area of land that is higher on one side than the other,5,1,3.9,hard
hill,an area of land that is higher than the land around it but smaller than a mountain,4,1,4.82,easy
county,an area within a country or a state with its own local government,6,2,5.19,hard
contest,an event in which people try to win,7,2,4.53,medium
adventure,an exciting and often dangerous experience,9,3,4.46,hard
brief,short; using few words,5,1,4.52,hard
adviser,an expert who suggests what someone should do,7,3,3.94,hard
bright,producing a lot of light,6,1,4.61,hard
interpretation,an explanation or opinion of the meaning of something,14,5,4.22,hard
wound,an injury to the body that is caused when something breaks the skin,5,1,4.24,hard
broad,wide; from the shorter two sides to the other,5,1,4.53,hard
bid,an offer to pay a particular amount of money for something,3,1,4.4,hard
brother,a boy or man who shares a parent with you,7,2,5.11,hard
settlement,an official agreement that ends an argument or fight between people or groups,10,3,4.49,hard
sequence,an ordered group of related events or things,8,2,4.35,hard
budget,amount of money planned to be spent on something,6,2,4.82,medium
creature,animal of any type,8,2,4.16,hard
hell,any place of pain and suffering,4,1,5.1,easy
burn,to destroy with fire,4,1,4.53,hard
unlike,appearing or being different,6,2,4.57,medium
neighborhood,area of a town or city that people live in,12,3,4.5,hard
bus,a large road vehicle used for carrying many people,3,1,4.83,easy
busy,working hard doing something; full of activity,4,2,4.75,hard
shade,area of darkness where something stops the light,5,1,4.16,hard
territory,area of land or ocean owned or controlled by a government or person,9,4,4.6,hard
desert,area of land that has very little water and few plants,6,2,4.4,medium
zone,area of space used for a particular reason,4,1,4.72,easy
harbor,area of water protected by land and used by ships,6,2,4.15,hard
province,area that a country or nation is divided into,8,2,4.47,medium
dispute,argument between two or more parties about something,7,2,4.27,hard
camera,"object that takes pictures digitally, or on film",6,3,4.87,medium
camp,place where people live for a short time in tents,4,1,4.79,easy
approximately,around; nearly; almost; about (a number),13,5,4.64,hard
naturally,as someone would expect; not surprising,9,4,4.48,hard
cancer,any growth caused by abnormal cell division,6,2,4.93,medium
even,as well; too,4,2,5.99,hard
what,asking for information about someone or something,4,1,6.38,easy
league,association of sports teams that organizes matches for its members,6,1,5.13,hard
capacity,"ability to hold, involve or contain people or things",8,4,4.71,hard
capital,"main, or major",7,3,5.01,medium
along,at a point on a line,5,2,5.38,hard
ago,at a specified length of time in the past,3,2,5.42,hard
card,small piece of paper or plastic used as i.d.,4,1,5.04,easy
before,at a time earlier than the present; previously,6,2,5.93,hard
career,particular occupation in professional life,6,2,5.07,hard
soon,at a time not long from now,4,1,5.32,easy
carefully,in a manner that involves focus and care,9,3,4.46,hard
always,at all times; in every situation,6,2,5.76,hard
carry,to hold something and move it to another place,5,2,4.89,hard
young,at an early stage of existence; not mature,5,1,5.43,easy
cash,physical money (not credit card or digital),4,1,4.92,easy
whenever,at any or every time that,8,3,4.63,medium
ever,at any time; at all times in the future,4,2,5.66,hard
originally,at first; in the beginning,10,5,4.69,hard
meanwhile,at or during the same time; in the meantime,9,2,4.48,hard
catch,use your hands to stop and hold something flying,5,1,4.87,easy
category,groups of things that are similar in some way,8,4,4.57,hard
during,at some point in the course of an event or thing,6,2,5.72,hard
then,at that time not now,4,1,6.07,easy
cell,short for 'cellphone',4,1,4.87,easy
initially,at the beginning,9,4,4.49,hard
central,being in the middle,7,2,5.12,hard
century,period of 100 years,7,3,5.02,hard
now,at the present time or moment,3,1,6.18,easy
certain,being sure about something; without doubt,7,2,5.16,hard
chair,a piece of furniture you sit on when sitting at a table or desk,5,1,4.69,easy
nowadays,at the present time; now,8,3,4.11,hard
challenge,an activity you wish to try that may be hard to do,9,2,4.88,hard
regularly,"at the usual time each day, week, or month",9,4,4.52,hard
fascinate,attract or interest greatly,9,3,2.51,hard
moderate,average in size or amount,8,3,4.27,hard
chance,possibility that something will happen,6,1,5.26,hard
out,away from the inside or center,3,1,6.38,easy
chapter,one of the main sections of a book,7,2,4.65,medium
character,your personality or nature,9,3,5.11,hard
charge,to ask for money as a price for a service or goods,6,1,5.02,hard
tail,back end of an animal's body that sticks out,4,1,4.34,hard
storm,"bad weather with a lot of rain, snow, and strong winds",5,1,4.66,easy
bread,"baked food made from flour, used in sandwiches, etc.",5,1,4.5,hard
belt,band of material worn around a person's waist,4,1,4.42,hard
truly,based on truth or fact or reality,5,2,4.87,hard
cheap,not costing a lot of money,5,1,4.71,easy
check,to confirm the details of something are correct,5,1,5.31,easy
liquid,basic state of things that is similar to water; not solid or gas,6,2,4.39,medium
framework,basic structure of something,9,2,4.29,hard
firstly,before anything else,7,2,3.73,hard
aggressive,behaving in a very threatening way,10,3,4.32,hard
chief,most important one,5,1,5.11,easy
equivalent,"being about equal in value, use, or meaning",10,4,4.5,hard
mature,"being an adult, being fully developed physically",6,2,4.28,hard
smart,"being clever, having a good mind",5,1,4.83,easy
choice,decision between two or more possibilities,6,1,5.08,hard
choose,to select; decide between several possibilities,6,1,4.91,hard
prompt,being done quickly and with no delay,6,1,3.86,hard
circumstance,condition or fact that affects a situation,12,3,3.66,hard
keen,being eager or excited for something to happen,4,1,4.13,hard
citizen,person who belongs to and has rights in a country,7,3,4.39,medium
native,being from or living in the place where you were born,6,2,4.69,medium
eastern,being in the area to the east,7,2,4.78,medium
claim,to say something is true when others may not agree,5,1,4.95,easy
in,being inside something,2,1,7.27,easy
no,being none; not having or being,2,1,6.35,easy
contemporary,being of the time being discussed,12,5,4.49,hard
clean,being free from dirt or marks because it was washed,5,1,4.97,easy
poverty,being poor,7,3,4.46,medium
clearly,in a way that is easy to understand; obviously,7,2,4.92,medium
genuine,"being real, actual, and not false",7,3,4.37,medium
climb,to rise gradually and steadily to a higher point,5,1,4.22,hard
record,being the highest or most extreme level achieved in an area,6,2,5.21,hard
clock,a device that shows the time,5,1,4.43,hard
vast,being very large in size or amount,4,1,4.49,hard
idea,"belief, thought, suggestion, opinion, or plan",4,3,5.36,hard
of,belonging to or connected with something,2,1,7.4,easy
club,"group of people who share an interest, as in sport",4,1,5.2,easy
coach,"person who teaches others how to do (sport, job) ",5,1,4.96,easy
historic,belonging to the past; of what is important or famous in the past,8,3,4.49,medium
extraordinary,beyond what is ordinary; very unusual; remarkable,13,6,4.36,hard
corporation,big company or a combination of several companies,11,4,4.59,hard
code,a password made of a set of letters or numbers,4,1,5.08,easy
coffee,a brown drink made from roasted beans and boiled water,6,2,4.86,medium
large,"big; of great size; broad, tall, wide, long, or fat",5,1,5.39,easy
cold,having a very low temperature,4,1,5.02,easy
hand,body part at the end of a person's arm,4,1,5.41,easy
collect,to gather things/people together in one place,7,2,4.37,medium
collection,group of similar things gathered as a hobby,10,3,4.96,hard
college,school or educational institution for adults,7,2,5.27,hard
fiction,"book or story including ideas, people, and events that are not real",7,2,4.44,medium
combine,to mix several things together to form one thing,7,2,4.13,hard
album,book with a collection of photographs or pictures,5,2,5.02,hard
mystery,"book, play, or film that deals with a solution of a strange crime",7,3,4.45,medium
comfortable,not being worried about something; at ease,11,4,4.66,hard
commercial,radio or television advertisement,10,3,4.92,hard
commit,"to do something bad, usually a crime",6,2,4.33,hard
committee,group of people who do or decide something,9,3,5.01,hard
common,"typical, normal; not unusual",6,2,5.2,hard
uncle,brother of your father or mother or the husband of your aunt,5,2,4.45,hard
communication,talking to people; giving information to people,13,5,4.68,hard
community,group of people who share a common idea or area,9,4,5.34,hard
house,"building in which a family, person lives",5,1,5.71,easy
compare,to consider how similar and different things are,7,2,4.45,medium
comparison,looking for differences and similarities in two or more things,10,4,4.51,hard
office,building of set of rooms used to do business or professional activities,6,2,5.4,hard
school,building where you learn in classes with a teacher,6,1,5.71,hard
competition,fighting against others when trying to win something,11,4,4.91,hard
publisher,business that produces books or magazines,9,3,4.13,hard
personally,"by a specific person, and not by anyone else",10,4,4.57,hard
complete,to finish or reach the end of doing something,8,2,5.1,hard
completely,in every way or as much as possible,10,3,5.0,hard
complex,"difficult, not easy to understand or explain",7,2,4.86,medium
via,"by going through, by way of",3,2,5.02,hard
widely,by or among a large number of people,6,2,4.54,medium
beside,by the side of something; next to something,6,2,4.19,hard
flexible,capable of being easily bent or changed without breaking,8,3,4.13,hard
observation,careful watching and listening; remark or comment on something you have noticed,11,4,4.13,hard
pleasant,causing a good feeling,8,2,4.22,hard
controversial,"causing a great deal of argument, discussion, or conflict",13,4,4.23,hard
fortune,"chance or luck, particularly good luck",7,2,4.3,hard
effect,change brought about by a cause; result,6,2,5.02,hard
computer,a machine for storing information and accessing the internet,8,3,4.97,medium
infant,child in the beginning stage of life; a baby,6,2,3.99,hard
concept,abstract idea of something or how it works,7,2,4.77,medium
random,chosen or done without a plan or pattern,6,2,4.58,medium
concert,musical entertainment given in public by one or more performers,7,2,4.55,medium
conclude,to stop or finish; to come to the end of something,8,2,3.9,hard
conclusion,judgment or opinion after thinking for a while,10,3,4.4,hard
distinct,clearly different in nature from something else,8,2,4.29,hard
conduct,"to direct, lead or guide something",7,2,4.52,medium
confidence,feeling that you can do well at something,10,3,4.65,hard
coat,clothing worn outside over your normal clothes,4,1,4.36,hard
confirm,to provide evidence to establish the truth of,7,2,4.4,medium
conflict,to have opposite ideas; to disagree; to not match,8,2,4.64,medium
money,coins or notes we use to pay for things,5,2,5.64,hard
information,collection of facts and details about something,11,4,5.43,hard
connect,to join or attach things together,7,2,4.38,medium
connection,something that joins things together; being joined,10,3,4.76,hard
consequence,outcome of an event; result,11,3,4.07,hard
gray,color between black and white,4,1,4.45,hard
yellow,color of lemons or the sun,6,2,4.69,medium
carpet,colored floor covering made of wool or other material,6,2,4.18,hard
first,coming before all others in time or place,5,1,6.11,easy
consideration,careful thought; thinking about something,13,5,4.28,hard
consist,"to have as an essential, necessary or main part",7,2,3.94,hard
western,"coming from, found in, or facing towards the west",7,2,5.01,medium
airline,company that flies passengers in its planes,7,2,4.04,hard
absolute,complete and total,8,3,4.54,medium
whole,complete or full; all of ,5,1,5.46,easy
altogether,completely and fully,10,4,4.07,hard
construction,act of building something; thing that is built,12,3,4.97,hard
exact,completely correct; accurate; specific,5,2,4.51,hard
all,completely; totally,3,1,6.52,easy
literary,concerned with written works,8,4,4.31,hard
consumer,person who uses goods or services; individual buyer,8,3,4.56,medium
contact,to get in touch with someone,7,2,4.99,medium
contain,to hold something inside something else,7,2,4.5,medium
urban,concerning a city; located in a city,5,2,4.65,hard
royal,concerning a king or queen,5,2,4.85,hard
context,set of facts surrounding a person or event,7,2,4.63,medium
institutional,concerning a large organization such as a hospital or university,13,5,4.0,hard
presumably,concerning a true or likely nature,10,4,4.06,hard
contrast,"to compare; to show clear, obvious differences",8,2,4.46,medium
contribution,"helping a cause by giving money, things, services",12,4,4.34,hard
agricultural,concerning farming,12,5,4.34,hard
organic,concerning food made with few or no chemicals,7,3,4.4,medium
political,concerning government or public affairs,9,4,5.29,hard
classical,concerning ideas considered to be traditional,9,3,4.26,hard
conversation,when you talk with other people; discussion or chat,12,4,4.75,hard
sexual,concerning physical activity that can produce babies,6,3,4.82,medium
convince,"to persuade someone, or make them feel sure",8,2,4.26,hard
cook,to heat food until it is ready to eat,4,1,4.65,easy
cool,almost cold; not warm or hot,4,1,5.15,easy
public,concerning society in general,6,2,5.57,hard
abstract,concerning something that doesn't exist physically,8,2,4.14,hard
copy,to make something that looks the same as the original,4,2,4.77,hard
corporate,concerning (usually large) companies,9,3,4.64,hard
retail,concerning the business of selling products to the public for personal use,6,2,4.55,medium
correct,true or accurate,7,2,4.79,medium
inner,concerning the inside part of something,5,2,4.5,hard
mental,concerning the mind,6,2,4.83,medium
genetic,concerning the parts of a cell that determine particular characteristics,7,3,4.34,hard
online,connected to the internet,6,2,5.19,hard
council,group chosen to make decisions about something,7,2,5.08,hard
ethnic,connected with people who share a cultural tradition,6,2,4.33,hard
count,to add things together to find the total number,5,1,4.83,easy
tank,container for holding liquid or gas,4,1,4.57,hard
inflation,continual rise in the prices of products,9,3,4.14,hard
temporary,"continuing for a limited time, not permanent",9,4,4.48,hard
couple,two of something; two people; a pair,6,2,5.19,hard
court,"large, flat area, to play tennis or basketball",5,1,5.41,easy
dialog,conversation between two or more individuals,6,3,3.46,hard
cover,thing you put over something to close or hide it,5,2,5.08,hard
accurate,correct; not having mistakes or errors,8,3,4.57,medium
free,costing no money,4,1,5.63,easy
policy,"course of action proposed by an organization, etc.",6,3,5.17,hard
envelope,cover for a letter or card,8,3,3.86,hard
roof,cover or top of something,4,1,4.55,hard
wet,covered or soaked with a liquid; not dry,3,1,4.54,hard
bloody,covered or spotted with blood on the surface,6,2,4.28,hard
offense,criminal act; something that causes hurt,7,2,4.26,hard
festival,cultural event with a program of events,8,3,4.72,medium
credit,system to buy something and pay for it later,6,2,5.0,medium
hook,curved or bent tool,4,1,4.37,hard
crisis,unstable situation of extreme danger or difficulty,6,2,4.62,medium
critical,being important or serious; vital; dangerous,8,3,4.83,medium
destruction,damaging something so badly that it no longer exists,11,3,4.36,hard
coal,dark hard substance from the earth burnt as a fuel,4,1,4.49,hard
cross,to meet at one point,5,1,5.0,easy
crowd,large group of people together in one place,5,1,4.7,easy
pot,"deep, round container that is used for cooking",3,1,4.4,hard
cry,to produce tears and sounds because of pain,3,1,4.59,hard
culture,beliefs and customs of a particular group,7,2,5.03,hard
cup,small round container used to hold liquids for drinking,3,1,5.11,easy
profile,description listing the basic information about a person or group,7,2,4.82,medium
current,happening or being in the present time,7,2,5.27,hard
currently,happening or being in the present time,9,3,5.08,hard
reliable,"deserving of your trust, dependable",8,4,4.29,hard
architecture,design and construction of buildings,12,4,4.42,hard
customer,someone who buys goods or services from a business,8,3,4.61,medium
cut,to use a knife or scissors to divide or open the surface,3,1,5.24,easy
cycle,series of regular and repeated actions,5,2,4.6,hard
although,despite the fact that; however,8,2,5.3,hard
daily,happening every day,5,2,5.07,hard
damage,physical harm that is done to something,6,2,4.9,medium
explanation,details or reasons given to make something clear,11,4,4.44,hard
dance,to move your body rhythmically to music,5,1,4.93,easy
danger,"possibility of getting hurt, damaged, or killed",6,2,4.59,medium
dangerous,involving the chance of hurt or damage; risky,9,3,4.79,hard
criteria,details used to make a decision,8,4,4.21,hard
dark,having little or no light; not light in color,4,1,5.04,easy
filter,device to remove unwanted substances from a liquid or gas,6,2,4.28,hard
data,facts or information used to calculate or analyze,4,2,5.34,hard
unusual,different from what is ordinary or normal in a way that attracts attention; not usual,7,4,4.45,hard
date,a day in the calendar such as January 3rd,4,1,5.22,easy
daughter,a female child of someone,8,2,5.07,hard
hard,"difficult to bend, break or cut; solid",4,1,5.53,easy
dead,not alive,4,1,5.19,easy
pollution,dirty or dangerous waste released into an environment,9,3,4.2,hard
dear,loved or valued very much,4,1,4.77,easy
death,when someone dies; the end of life,5,1,5.4,easy
debate,general public discussion of a topic,6,2,4.64,medium
decade,period of 10 years,6,2,4.52,medium
mess,dirty or untidy area,4,1,4.57,hard
decision,a choice you make about something after thinking about it,8,3,5.09,hard
depth,distance below a surface,5,1,4.55,hard
decline,to not accept an invitation or offer; refuse,7,2,4.4,medium
deep,going far down from the surface,4,1,5.05,easy
height,distance of something from the bottom to the top,6,1,4.53,hard
phase,distinct part or step in a process,5,1,4.64,hard
defense,process of protecting something from attack,7,2,4.93,medium
injure,do physical harm or damage,6,2,3.27,hard
define,to explain the meaning of words,6,2,4.31,hard
definitely,without question; beyond doubt,10,4,4.96,hard
definition,"explanation of word's meaning, as in dictionaries",10,4,4.58,hard
degree,unit for measuring temperature or angles,6,2,4.94,medium
deliver,to take something to a person or place,7,3,4.55,medium
delivery,act of taking something to a person or place,8,4,4.59,hard
demand,to strongly request someone to do something; insist,6,2,4.84,medium
helpful,doing things that help someone,7,2,4.43,medium
universal,done or experienced by everyone,9,4,4.49,hard
voluntary,done or given by their own will and not forced to do,9,4,4.01,hard
violent,done with force; likely to cause physical damage,7,3,4.46,medium
deny,to refuse to allow or accept something,4,2,4.34,hard
department,division of a larger part or organization,10,3,5.23,hard
depend,"to need (someone or something) for support, help, etc.",6,2,4.2,hard
immediate,done without delay; straight away,9,4,4.52,hard
chart,drawing showing information in a clear way,5,1,4.47,hard
alcohol,"drinks such as wine, whiskey, beer",7,3,4.61,medium
fall,dropping from a standing position to the ground,4,1,5.13,easy
describe,"to tell someone the appearance, sound or smell of something",8,2,4.56,medium
description,something that tells you what something is like or looks like,11,3,4.73,hard
while,during the time that; at the same time,5,1,5.86,easy
whilst,during the time that; at the same time,6,1,4.38,hard
design,to plan in a particular way to fulfill a purpose,6,2,5.17,hard
sensitive,easily hurt or damaged,9,3,4.46,hard
desk,a piece of furniture like a table often with drawers,4,1,4.43,hard
despite,without being affected by something; in spite of,7,2,5.0,medium
visible,easily seen or understood,7,3,4.39,medium
detail,small part of something; tiny fact,6,2,4.57,medium
soft,"easy to press, bend or cut; not hard or firm",4,1,4.68,easy
apparent,easy to see or clearly understand,8,3,4.32,hard
determine,to control exactly how something will be or act,9,3,4.63,hard
clear,easy to understand; well-explained; obvious,5,1,5.25,easy
potato,edible vegetable,6,3,4.11,hard
device,"object, machine, or equipment for a specific use",6,2,4.67,medium
impression,effect or feeling resulting from an experience,10,3,4.35,hard
mood,emotion or a state of mind; how you feel,4,1,4.44,hard
die,to stop living,3,1,5.07,easy
electricity,energy generated positive and negative charges,11,5,4.43,hard
adequate,enough; good enough for what is needed,8,3,4.05,hard
difference,not of the same kind; unlike other things,10,3,5.01,hard
enough,equal to what is needed; as much as required,6,2,5.54,hard
each,every one of two or more things,4,1,5.69,easy
difficult,hard; not easy; you need to work hard to do it,9,3,5.07,hard
difficulty,something that is hard to do,10,4,4.33,hard
everywhere,every place,10,3,4.66,hard
test,examination; questions to measure knowledge,4,1,5.19,easy
case,example or instance of something,4,1,5.55,easy
dinner,"main meal of the day, usually in the evening in the us",6,2,4.78,medium
direct,to tell someone to do something in a straight-talking way,6,2,4.91,medium
directly,in a frank and honest way,8,3,4.9,medium
director,senior person who manages part of an organization,8,3,5.15,hard
good,excellent; high quality,4,1,6.12,easy
stimulate,excite to action,9,3,3.67,hard
numerous,existing in large numbers,8,3,4.65,medium
distant,existing or happening far away in space,7,2,4.19,hard
silver,"expensive, near white color metal (symbol Ag)",6,2,4.81,medium
veteran,experienced through long service or practice,7,3,4.21,hard
consultant,expert who gives (paid) advice,10,3,4.13,hard
discover,to find something new that was not known before,8,3,4.39,medium
reason,explanation for why something occurred or was done,6,2,5.32,hard
discuss,to talk about something seriously or in great detail,7,2,4.66,medium
discussion,any long communication about some particular topic ,10,3,4.71,hard
disease,"illness that affects a person, animal, or plant",7,2,4.9,medium
demonstration,explanation of how something works,13,4,4.06,hard
extension,extra time allowed to complete something,9,3,4.46,hard
further,extra; in addition,7,2,5.31,hard
giant,"extremely big, or much bigger than other things",5,2,4.62,hard
display,to put so they can be seen or be bought,7,2,4.63,medium
crucial,extremely important,7,2,4.28,hard
distance,amount of space between two places or things,8,2,4.85,medium
remote,far away,6,2,4.41,medium
sheep,farm animal kept for meat and wool,5,1,4.19,hard
pig,farm animal that gives bacon and ham,3,1,4.14,hard
dad,father,3,1,4.95,easy
district,"area of a country, city, or town",8,2,5.04,hard
anxiety,fear about what might happen; worry,7,4,4.45,hard
motivation,feeling in a person that makes him or her want to do something,10,4,4.22,hard
divide,to separate something into equal pieces,6,2,4.12,hard
tension,feeling of anxiety and inability to relax,7,2,4.22,hard
joy,feeling of great happiness and pleasure,3,1,4.55,hard
document,official (printed) record that gives information,8,3,4.5,medium
dog,small 4-legged animal that barks kept as a pet,3,1,5.1,easy
dollar,a basic unit of money equal to 100 cent,6,2,4.59,medium
friendship,feeling of liking someone; good relationship,10,2,4.39,hard
door,you walk through this when you go in a room,4,1,5.08,easy
double,two times the amount or degree; twice,6,2,5.01,medium
doubt,not being sure of something; lack of certainty,5,1,4.9,easy
hunger,feeling of needing to eat food,6,2,4.1,hard
concern,feeling of worry or anxiety,7,2,4.66,medium
grateful,feeling or showing thanks; thankful,8,2,4.35,hard
ashamed,feeling shame or guilt because you did something wrong,7,2,4.06,hard
confident,feeling that you can do well at something,9,3,4.43,hard
uncertainty,feeling that you don't really know what will happen,11,4,4.03,hard
draw,to create an image using pen or pencil and paper,4,1,4.81,easy
dream,"images, thoughts, and feelings that are experienced during sleep",5,1,4.91,easy
dress,women's garment with a top part and a skirt,5,1,4.76,easy
drink,to put water in your body through your mouth,5,1,4.9,easy
sad,feeling unhappy; wishing something hadn't happened,3,1,4.84,easy
driver,someone who operates a vehicle,6,2,4.75,medium
drop,to let something fall from your hand,4,1,4.99,easy
drug,chemical used as a medicine,4,1,4.87,easy
dry,without water; not wet,3,1,4.74,easy
due,when something is required or expected,3,1,5.35,easy
she,female person or animal mentioned before,3,1,6.26,easy
ultimately,"finally, after doing other things",10,4,4.57,hard
duty,work required by your job or position,4,2,4.71,hard
dust,fine dry powder that builds up on surfaces,4,1,4.41,hard
solid,firm or hard; not a gas or liquid,5,2,4.73,hard
steady,"firmly fixed, supported, or balanced; not shaking, rocking, or likely to fall over",6,2,4.31,hard
earn,to get money for work,4,1,4.48,hard
earth,planet we live on,5,1,5.06,easy
start,first time or place that a thing exists; beginning,5,1,5.56,easy
easily,without difficulty,6,3,4.91,medium
term,fixed period of weeks for learning at school,4,1,5.23,easy
shelf,flat board attached to a wall on which to store things,5,1,4.02,hard
easy,not hard to do; not difficult,4,2,5.29,hard
eat,to put food in your mouth,3,1,5.13,easy
economic,"having to do with trade, industry, and money",8,4,5.1,hard
edge,boundary of a surface,4,1,4.74,easy
conventional,following the common attitudes and practices,12,4,4.25,hard
fruit,food that grows on a tree or bush,5,1,4.57,hard
boot,footwear covering your foot and part of your leg,4,1,4.19,hard
education,process of giving or receiving teaching,9,4,5.28,hard
because,for a reason,7,2,6.03,hard
forever,for a very long or seemingly endless time,7,3,4.74,medium
effective,working efficiently to produce a desired result,9,3,4.89,hard
per,for each; during each,3,1,5.45,easy
so,for that reason,2,1,6.52,easy
why,for what reason or purpose,3,1,5.93,easy
effort,amount of work used trying to do something,6,2,4.92,medium
egg,hard-shelled thing from which a young bird is born,3,1,4.46,hard
sir,form of address to a man you respect,3,1,5.06,easy
format,"form, design, or arrangement of something",6,2,4.47,medium
election,process of choosing someone by voting,8,3,5.08,hard
lucky,fortunate; having good things happen to you,5,2,4.77,hard
hence,"from now, later than the present time",5,1,4.38,hard
through,from one end or side of something to the other end or side,7,1,5.87,hard
element,essential or particular part of something,7,3,4.46,medium
across,from one side to the other of something,6,2,5.25,hard
else,otherwise; if you fail to...,4,1,5.38,easy
since,from the time in the past that,5,1,5.75,easy
e-mail,"a system for sending messages electronically, especially from one computer to another using the internet",6,2,4.61,medium
face,"front part of the head where eyes, nose, and mouth are",4,1,5.45,easy
tennis,game played by hitting a ball over a net,6,2,4.35,hard
emerge,to rise or appear out of some background,6,2,3.89,hard
golf,game played to hit a ball into a hole with a stick,4,1,4.56,hard
preparation,getting ready for something,11,4,4.32,hard
present,gift,7,2,5.18,hard
sale,giving something for money; the amount sold,4,1,4.99,easy
down,going from a higher position to a lower position,4,1,5.88,easy
employ,to pay a person to work for you; to give a job to,6,2,3.96,hard
employee,person who works for someone else for payment,8,3,4.5,medium
into,going inside something,4,2,6.11,hard
alright,good; acceptable,7,2,4.42,medium
empty,containing nothing; with no contents,5,2,4.59,hard
enable,to make it possible to do something,6,3,4.3,hard
honest,good; always telling the truth and not stealing,6,2,4.73,medium
encourage,to make someone more determined or confident,9,3,4.45,hard
sand,grains of rock that make beaches and deserts,4,1,4.44,hard
more,"greater in amount, number, or size",4,1,6.36,easy
energy,physical or mental strength,6,3,5.23,hard
engage,"to carry out, participate in; be involved in",6,2,4.36,medium
tall,greater in height than average,4,1,4.52,hard
enjoy,to take pleasure in something,5,2,5.09,hard
empire,group of countries controlled by one government,6,3,4.54,medium
tune,group of musical notes that make a nice sound,4,1,4.27,hard
ensure,"to make something sure, certain, or safe",6,2,4.7,medium
enter,to go into a room,5,2,4.81,hard
government,group of people and system which rule a nation,10,3,5.57,hard
jury,group of people who listen to information about something and make a decision,4,2,4.49,hard
personnel,group of people who work for a company,9,3,4.56,hard
entire,complete or full; with no part left out; whole,6,3,5.09,hard
bunch,group of things of the same kind,5,1,4.57,hard
pile,group of things one on top of another,4,1,4.14,hard
type,group of things or people sharing common features,4,1,5.27,easy
environment,natural world in which plants and animals live,11,4,4.87,hard
environmental,of the natural world in which plants and animals live,13,5,4.7,hard
sort,group or class of similar things or people,4,1,5.0,easy
equal,"same in shape, size, or number",5,2,4.65,hard
constantly,happening a lot or all the time,10,3,4.53,hard
subsequent,happening after,10,3,4.39,hard
equipment,tools or materials used to perform a task,9,3,4.88,hard
constant,happening frequently or without pause,8,2,4.54,medium
error,something that is not correct; a mistake,5,2,4.55,hard
especially,more than usual; extremely,10,3,5.21,hard
briefly,happening in a short period of time; using few words,7,2,4.22,hard
essential,extremely important and necessary,9,3,4.61,hard
establish,to set or create something to last for a long time,9,3,4.46,hard
still,happening in the past and continuing into the present,5,1,5.92,easy
